accuracy,performanceScore,totalTime,averageReactionTime,incorrectAnswers,currentDifficulty,recentAvgAccuracy,recentAvgPerformance,trendScore,gamesOnCurrentLevel,recommendation
0.648,63.3,81.3,2.27,3,2,0.626,71.9,0.074,2,maintain
0.609,69.0,92.0,2.26,7,5,0.492,75.6,0.069,6,maintain
0.952,89.3,44.7,1.82,1,4,0.885,89.3,0.118,10,upgrade
0.918,65.8,91.1,2.75,0,4,0.939,84.5,0.154,3,upgrade
0.878,79.5,83.2,2.01,2,7,0.97,94.4,0.095,7,upgrade
0.171,44.9,158.0,3.71,19,6,0.05,43.0,-0.012,5,downgrade
0.83,45,87.4,2.85,8,3,0.506,68.6,-0.09,3,maintain
0.396,37.5,103.8,3.4,10,3,0.296,43.0,-0.198,4,downgrade
0.53,84.3,95.8,1.91,13,6,0.664,64.1,-0.173,2,maintain
0.292,50.6,121.1,3.05,15,2,0.348,55.6,0.11,3,downgrade
0.794,62.0,80.4,2.42,3,3,0.772,51.6,-0.161,2,maintain
0.875,91.8,47.7,1.73,2,2,0.95,74.4,0.13,8,upgrade
0.901,76.2,84.5,2.62,0,4,0.878,89.8,0.148,4,upgrade
0.625,52.4,103.4,2.77,5,1,0.752,65.3,-0.025,5,maintain
0.302,15.5,140.0,3.48,8,1,0.84,57.0,-0.116,10,maintain
0.189,54.9,146.6,2.64,18,7,0.206,61.2,-0.209,4,downgrade
0.321,24.8,102.6,3.55,7,5,0.144,5,-0.102,4,downgrade
0.568,26.4,112.2,3.18,10,3,0.496,37.8,-0.205,8,downgrade
0.558,45,97.3,3.14,4,3,0.759,77.0,-0.081,7,maintain
0.719,54.2,138.1,3.04,6,6,0.696,65.6,0.201,7,maintain
0.266,21.8,131.2,4.02,14,8,0.46,43.0,-0.13,3,downgrade
0.16,47.9,158.1,3.68,17,8,0.268,74.7,-0.074,7,downgrade
0.645,59.4,109.7,2.92,9,5,0.763,64.0,-0.13,7,maintain
0.898,65.7,93.4,2.43,3,1,0.977,78.8,0.285,6,upgrade
0.822,88.1,64.8,2.05,2,4,0.868,92.2,0.044,9,upgrade
0.332,32.3,149.2,3.09,13,5,0.23,42.4,-0.009,4,downgrade
0.713,69.0,72.6,2.51,3,5,0.706,66.6,-0.122,2,maintain
0.326,43.9,110.0,3.17,6,8,0.285,23.7,-0.221,8,downgrade
0.569,60.0,126.4,2.75,11,7,0.723,76.1,-0.251,6,maintain
0.234,52.0,126.3,2.95,17,2,0.373,57.4,0.19,2,downgrade
0.186,24.5,167.0,4.09,12,8,0.133,19.8,-0.188,3,downgrade
0.619,75.2,87.4,2.16,7,3,0.583,71.4,0.109,9,maintain
0.266,30.6,152.1,3.47,9,7,0.49,41.7,0.045,8,downgrade
0.704,57.6,102.6,2.92,4,7,0.565,54.3,0.162,2,maintain
0.88,74.4,93.2,2.68,2,5,0.9,87.1,0.161,5,upgrade
0.75,84.9,75.0,2.08,7,4,0.89,79.5,-0.009,1,maintain
0.879,81.3,61.7,2.01,0,3,0.893,89.3,0.056,4,upgrade
0.943,93.1,64.1,1.63,3,6,0.916,81.7,0.073,5,upgrade
0.722,81.6,97.3,2.56,8,8,0.86,90.7,0.163,2,maintain
0.56,61.9,88.0,2.64,8,4,0.8,68.3,-0.088,5,maintain
0.768,51.7,85.8,3.09,5,2,0.771,79.9,-0.197,6,maintain
0.829,75.7,80.1,2.93,4,6,0.894,88.7,0.076,9,upgrade
0.49,43.7,147.2,3.41,9,7,0.478,77.9,-0.057,6,downgrade
0.649,65.0,79.8,2.41,9,7,0.763,79.9,0.098,3,maintain
0.5,73.6,99.0,1.81,12,1,0.556,58.2,-0.123,8,maintain
0.54,54.3,82.5,2.36,7,6,0.667,77.7,0.01,8,maintain
0.367,30.8,158.2,3.43,15,8,0.518,35.8,-0.146,3,downgrade
0.332,13.4,94.3,3.93,7,3,0.348,23.2,-0.307,2,downgrade
0.877,87.3,63.2,1.7,2,4,0.863,85.1,0.218,2,maintain
0.327,19.0,112.2,3.48,11,3,0.389,23.8,-0.301,1,downgrade
0.28,57.6,103.6,2.74,11,2,0.331,53.8,-0.026,1,downgrade
0.932,75.2,57.9,1.89,0,3,0.859,91.8,0.066,5,upgrade
0.643,80.8,72.7,2.17,5,4,0.723,76.0,-0.188,2,maintain
0.655,88,78.4,1.86,4,4,0.71,60.1,-0.107,3,maintain
0.617,69.5,111.3,2.49,5,5,0.822,79.9,-0.004,9,maintain
0.203,25.4,144.6,3.59,15,4,0.319,22.7,-0.189,6,downgrade
0.901,74.8,71.0,2.45,0,2,0.928,90.6,-0.005,7,upgrade
0.938,77.2,46.9,2.23,0,4,0.916,87.0,0.132,10,upgrade
0.933,82.1,80.1,2.52,2,8,0.942,90.9,-0.054,2,maintain
0.545,66.2,104.2,2.54,9,6,0.726,70.8,0.231,7,maintain
0.979,88.5,70.0,1.8,0,4,0.894,76.4,0.04,6,upgrade
0.599,55.4,120.4,2.9,3,7,0.697,74.7,-0.073,4,maintain
0.58,71.9,75.3,2.38,6,2,0.766,51.8,0.032,1,maintain
0.51,45,91.4,3.04,7,5,0.648,63.1,0.061,3,maintain
0.749,49.8,122.2,3.26,6,8,0.84,78.3,-0.057,9,maintain
0.26,48.6,88.1,2.92,8,2,0.433,67.3,-0.146,8,downgrade
0.442,42.2,122.1,3.97,14,7,0.697,49.0,-0.12,1,downgrade
0.132,10.1,180,4.36,10,6,0.17,20.3,-0.01,4,downgrade
0.853,82.6,85.9,1.86,3,5,0.883,87.5,0.077,3,upgrade
0.267,31.3,147.6,3.93,18,6,0.376,34.1,-0.128,7,downgrade
0.245,42.2,109.1,3.14,11,7,0.202,54.3,-0.171,2,downgrade
0.457,32.5,160.0,3.7,6,6,0.641,16.8,-0.19,1,downgrade
0.549,58.7,94.0,2.39,13,4,0.509,59.4,-0.024,3,maintain
0.548,81.3,96.1,1.79,13,2,0.627,55.6,0.18,4,maintain
0.994,82.8,54.5,1.97,1,4,0.84,83.7,0.17,4,upgrade
0.27,22.2,82.3,3.12,9,3,0.201,22.0,-0.25,2,downgrade
0.489,36.3,114.4,2.96,9,2,0.678,39.3,-0.044,5,downgrade
0.739,79.3,111.4,2.3,5,8,0.84,55.0,0.078,8,maintain
0.241,29.3,131.9,2.88,15,1,0.791,64.8,-0.039,3,maintain
0.91,67.6,77.2,2.62,0,3,0.95,79.9,0.229,5,upgrade
0.831,59.1,84.3,2.91,4,7,0.838,65.5,-0.03,4,maintain
0.315,41.6,116.7,2.99,10,4,0.292,62.5,-0.068,7,downgrade
0.9,83.4,90.1,2.07,2,7,0.884,89.8,0.123,10,upgrade
0.197,53.5,135.2,2.94,17,8,0.127,67.8,-0.001,6,downgrade
0.274,43.3,153.2,3.17,20,7,0.184,60.0,-0.199,6,downgrade
0.901,100,39.2,1.38,1,1,0.968,80.7,0.006,5,upgrade
0.738,61.8,89.6,2.79,2,4,0.755,49.6,0.03,7,maintain
0.515,32.0,133.7,3.86,11,6,0.655,43.2,-0.07,6,downgrade
0.314,36.7,130.1,3.45,8,6,0.288,46.2,-0.216,6,downgrade
0.798,53.2,87.2,2.55,3,3,0.792,67.6,0.108,1,maintain
0.379,43.7,144.1,3.5,14,5,0.341,52.3,-0.061,4,downgrade
0.766,71.9,83.9,2.3,4,2,0.61,65.2,-0.211,2,maintain
0.685,55.6,103.0,2.89,9,6,0.718,73.4,0.338,4,maintain
0.265,59.8,132.7,2.78,18,4,0.16,60.7,-0.238,3,downgrade
0.942,94.1,77.0,2.11,5,4,0.893,88.6,0.107,8,upgrade
0.469,50.2,152.8,3.27,8,7,0.508,36.2,-0.092,3,downgrade
0.734,82.0,54.4,1.78,6,2,0.84,67.0,-0.113,2,maintain
0.741,65.4,84.8,2.39,2,4,0.595,68.9,0.176,4,maintain
0.874,95.7,59.8,1.25,5,2,0.891,84.4,0.023,6,upgrade
0.92,79.9,77.0,2.25,1,5,0.622,71.2,-0.106,8,maintain
0.5,63.6,107.6,2.2,8,6,0.792,63.7,-0.128,10,maintain
0.568,63.4,64.5,2.35,4,2,0.657,66.2,-0.026,5,maintain
0.5,67.1,76.5,2.32,12,2,0.583,48.7,0.105,4,maintain
0.285,30.1,102.0,2.96,7,2,0.448,33.7,-0.2,3,downgrade
0.845,81.7,97.1,2.28,0,7,0.955,79.1,0.082,8,upgrade
0.398,40.7,159.7,3.69,15,7,0.381,30.1,-0.115,5,downgrade
0.161,44.4,153.7,3.0,15,5,0.259,50.1,0.069,3,downgrade
0.501,75.7,65.2,2.1,4,4,0.605,50.9,-0.23,4,maintain
0.93,88.5,83.0,2.15,3,6,0.865,85.0,-0.053,6,upgrade
0.612,64.6,74.4,2.47,5,2,0.669,58.4,-0.031,9,maintain
0.578,61.5,91.2,2.78,6,7,0.785,67.9,-0.108,9,maintain
0.825,93.4,71.9,1.56,1,5,0.929,81.6,0.152,10,upgrade
0.745,69.2,87.2,2.37,9,4,0.92,91.0,-0.117,6,maintain
1.0,93.3,61.6,1.62,0,3,0.948,91.9,0.049,4,upgrade
0.38,30.6,148.3,3.6,8,5,0.346,30.1,-0.165,8,downgrade
0.92,56.4,76.1,3.02,3,6,0.84,73.6,0.175,4,maintain
0.701,83.2,82.7,2.08,5,5,0.608,56.7,-0.119,3,maintain
0.854,67.7,87.4,2.68,2,7,0.942,80.0,0.03,1,maintain
0.241,39.8,99.5,3.37,7,5,0.355,50.7,-0.145,6,downgrade
0.325,22.7,131.8,3.9,8,8,0.324,21.2,0.11,4,downgrade
0.852,66.4,93.4,2.53,0,7,0.934,82.2,0.29,2,maintain
0.546,58.8,103.4,2.16,11,1,0.632,62.5,0.021,5,maintain
0.821,76.9,66.5,1.59,3,1,0.936,82.7,0.033,4,upgrade
0.749,88,115.9,2.44,8,8,0.765,60.8,-0.089,8,maintain
0.678,70.3,90.3,2.79,5,8,0.81,51.7,0.015,2,maintain
0.679,51.0,80.2,2.65,2,7,0.736,79.9,0.032,8,maintain
0.383,21.9,125.3,3.89,8,7,0.317,20.2,0.04,3,downgrade
0.801,72.1,81.2,2.31,1,3,0.947,76.9,0.025,8,upgrade
0.915,71.0,66.3,1.82,4,1,0.946,74.3,-0.05,3,upgrade
0.683,62.9,113.2,2.77,4,5,0.77,70.3,0.031,2,maintain
0.266,46.8,132.0,2.63,14,2,0.318,53.5,0.02,2,downgrade
0.846,77.0,75.1,2.73,5,8,0.907,80.5,-0.164,8,maintain
0.682,61.4,91.5,2.76,4,8,0.84,55.7,0.014,10,maintain
0.821,78.7,110.3,2.71,3,7,0.922,82.3,0.111,4,upgrade
0.206,43.2,157.6,2.95,18,2,0.05,39.0,-0.208,5,downgrade
0.679,59.8,61.0,2.68,2,6,0.644,64.7,-0.201,1,maintain
0.96,86.0,65.5,1.71,0,3,0.91,91.5,0.076,5,upgrade
0.812,63.0,77.8,2.55,4,7,0.453,61.1,-0.169,5,maintain
0.3,29.8,100.3,3.66,7,7,0.238,41.8,-0.188,6,downgrade
0.946,89.6,52.2,2.35,1,7,0.883,92.6,0.112,9,upgrade
0.194,42.4,140.7,2.74,16,3,0.191,49.9,-0.252,6,downgrade
0.39,35.7,157.2,3.51,11,6,0.452,49.3,0.072,3,downgrade
0.827,72.6,60.4,2.42,2,4,0.922,91.2,-0.206,3,maintain
0.563,61.4,99.1,2.1,7,2,0.84,63.9,-0.112,1,maintain
1.0,82.0,75.4,2.06,0,7,0.919,81.4,0.099,10,upgrade
0.51,73.6,96.9,2.29,10,4,0.589,61.1,-0.186,6,maintain
0.647,78.2,85.7,2.25,8,3,0.672,59.9,0.073,5,maintain
0.842,86.6,83.9,2.14,0,7,0.979,76.3,0.048,4,upgrade
0.744,61.2,102.1,2.67,2,8,0.695,62.5,0.162,6,maintain
0.261,39.3,180,3.24,18,7,0.44,52.4,-0.122,3,downgrade
0.44,26.8,146.9,4.16,4,8,0.338,34.6,-0.123,5,downgrade
0.386,42.0,90.6,2.84,6,6,0.475,58.5,-0.3,3,downgrade
0.595,47.2,136.6,3.21,4,7,0.755,73.9,-0.197,10,maintain
0.306,44.6,145.6,3.37,15,6,0.351,57.2,-0.148,1,downgrade
0.761,51.3,97.5,2.81,6,1,0.675,60.8,0.072,7,maintain
0.928,83.4,81.0,1.93,4,3,1.0,86.9,0.034,10,upgrade
0.387,31.9,88.1,3.36,4,5,0.246,35.7,-0.312,2,downgrade
0.272,42.6,113.5,3.1,15,5,0.387,45.9,-0.274,4,downgrade
0.694,63.9,116.0,2.89,2,6,0.694,45.5,-0.306,10,maintain
0.806,73.0,69.5,1.85,6,2,0.853,88.7,-0.162,3,maintain
0.78,60.9,77.2,2.69,6,3,0.84,79.9,-0.055,10,maintain
0.93,93.2,76.2,1.78,3,1,0.864,81.8,0.053,3,upgrade
0.666,49.5,104.8,2.89,3,4,0.827,78.3,0.105,1,maintain
0.522,67.2,101.3,2.6,10,2,0.596,52.9,0.295,7,maintain
0.737,80.2,67.5,2.06,4,7,0.677,61.9,0.134,7,maintain
0.862,83.8,79.4,1.74,5,3,0.876,83.4,-0.427,6,maintain
0.598,45,96.5,3.34,6,7,0.702,45,-0.234,2,maintain
0.33,54.8,154.7,3.43,9,8,0.342,69.0,-0.08,6,downgrade
0.596,48.1,108.0,2.98,2,3,0.73,54.0,-0.076,8,maintain
0.621,78.2,95.4,2.42,7,1,0.64,45,-0.24,6,maintain
0.833,79.2,76.1,2.11,0,2,0.83,93.3,0.135,6,upgrade
0.409,27.8,113.9,3.41,12,3,0.491,56.1,-0.084,4,downgrade
0.66,45,88.4,2.68,4,2,0.467,71.8,0.059,4,maintain
0.446,33.9,147.5,3.69,16,4,0.44,39.7,-0.136,5,downgrade
0.897,76.2,67.8,2.06,0,7,0.871,82.9,-0.074,10,upgrade
0.858,98.4,53.0,1.32,2,5,0.936,78.6,0.087,9,upgrade
0.953,91.8,78.3,1.9,5,6,0.913,82.4,0.063,6,upgrade
0.722,78.6,59.7,2.17,6,3,0.628,74.4,-0.059,2,maintain
0.357,11.7,141.6,3.73,7,6,0.386,10.7,-0.096,7,downgrade
0.829,77.9,71.9,2.04,0,2,0.969,85.1,0.039,5,upgrade
0.26,40.2,173.5,3.29,15,3,0.44,46.7,-0.161,8,downgrade
0.39,27.3,153.1,3.76,7,5,0.202,28.8,-0.186,3,downgrade
0.285,36.8,135.4,3.38,16,5,0.309,29.1,-0.028,5,downgrade
0.576,75.3,103.3,2.29,6,2,0.771,66.8,-0.081,7,maintain
0.895,93.8,65.6,1.55,4,1,0.971,78.1,0.254,5,upgrade
0.832,83.9,57.9,1.81,5,2,0.908,83.6,0.29,2,maintain
0.183,21.5,157.1,3.48,10,4,0.155,19.2,-0.292,2,downgrade
0.735,55.5,113.3,2.73,5,4,0.664,71.3,0.077,3,maintain
0.658,31.0,145.9,3.12,10,3,0.519,44.3,-0.207,1,downgrade
0.175,19.7,180,3.79,14,6,0.158,26.9,0.121,2,downgrade
0.246,29.0,139.4,3.55,15,5,0.31,11.1,-0.131,7,downgrade
0.85,52.4,114.4,3.0,2,5,0.827,62.3,0.205,4,maintain
0.905,79.4,74.7,2.3,2,2,0.977,69.3,0.013,5,upgrade
0.735,87.7,75.0,1.71,8,5,0.859,91.4,-0.033,1,maintain
0.629,80.9,76.7,2.58,5,5,0.764,61.8,-0.095,1,maintain
0.831,92.3,60.2,1.6,0,4,0.82,81.0,0.396,3,upgrade
0.426,39.2,154.2,3.17,14,6,0.319,47.2,-0.067,4,downgrade
0.529,28.3,169.0,3.62,11,7,0.605,47.8,-0.164,1,downgrade
0.216,42.3,137.0,2.93,15,7,0.076,58.9,-0.217,6,downgrade
0.878,86.7,97.9,2.21,4,7,0.868,80.2,-0.056,2,maintain
0.307,46.7,105.1,3.19,13,6,0.207,35.7,-0.088,5,downgrade
0.355,54.0,148.5,2.9,17,6,0.095,78,-0.083,6,downgrade
0.266,51.6,120.1,2.99,13,4,0.16,58.5,0.082,7,downgrade
0.254,22.6,121.2,4.13,8,8,0.252,35.5,-0.163,3,downgrade
0.779,84.0,67.9,1.98,1,5,0.84,62.9,-0.054,4,maintain
0.918,87.5,75.8,1.81,2,3,0.834,88.8,0.025,9,upgrade
0.946,100,71.7,1.91,0,7,0.947,99.9,0.109,10,upgrade
0.528,47.8,110.5,3.33,5,8,0.478,72.3,-0.132,10,maintain
0.973,89.0,62.0,1.63,1,3,0.814,81.1,0.002,5,upgrade
0.818,45,158.7,3.77,3,8,0.811,72.0,-0.084,4,maintain
0.926,81.7,80.2,2.02,2,4,0.944,87.7,0.038,4,upgrade
0.881,97.2,45.4,1.25,1,1,0.852,83.0,0.257,3,upgrade
0.968,88.3,51.3,2.04,1,6,0.896,80.8,-0.015,7,upgrade
0.28,31.7,123.1,3.34,7,2,0.428,23.5,-0.251,4,downgrade
0.254,32.2,77.8,2.89,9,2,0.266,44.5,0.075,8,downgrade
0.904,88.5,48.0,1.57,5,2,0.88,75.5,0.048,10,upgrade
0.992,72.1,62.9,2.57,0,6,0.936,90.4,0.041,3,upgrade
0.334,23.8,108.5,3.52,10,4,0.667,34.4,-0.306,3,downgrade
0.519,15.1,151.7,3.94,8,4,0.36,20.5,-0.163,7,downgrade
0.906,77.8,39.6,1.77,1,1,0.853,87.0,0.043,6,upgrade
0.714,70.5,100.6,2.59,4,7,0.611,79.9,0.077,6,maintain
0.391,24.8,121.3,3.68,4,5,0.225,29.9,0.081,2,downgrade
0.345,44.7,137.6,3.63,9,4,0.332,75.5,0.109,3,downgrade
0.417,21.0,180,3.84,15,8,0.494,45.2,-0.032,5,downgrade
0.809,90.4,84.4,2.31,3,6,0.883,91.4,0.016,4,upgrade
0.309,14.7,118.5,4.29,7,6,0.181,18.0,0.088,1,downgrade
0.077,37.9,92.5,2.65,14,3,0.05,53.7,-0.092,1,downgrade
0.265,37.9,118.5,2.92,11,3,0.231,28.8,-0.022,8,downgrade
0.809,93.4,57.2,1.21,4,3,0.91,89.0,0.029,6,upgrade
0.866,93.1,63.5,2.11,0,2,0.923,85.6,0.242,10,upgrade
0.321,28.8,150.8,3.67,16,8,0.5,14.6,-0.316,2,downgrade
0.337,47.9,180,3.63,14,8,0.345,41.7,-0.308,2,downgrade
0.932,80.3,64.3,1.91,0,1,0.866,86.4,0.097,8,upgrade
0.961,88.3,85.3,2.34,1,7,0.918,72.7,-0.039,7,upgrade
1.0,89.9,61.3,1.9,2,4,0.903,83.1,0.091,9,upgrade
0.826,50.6,106.4,3.0,5,4,0.829,73.6,0.111,8,maintain
0.943,78.5,73.7,1.83,4,7,0.914,86.9,-0.335,10,maintain
0.826,98.1,42.8,1.4,2,1,0.966,70.0,0.046,6,upgrade
0.367,15.6,172.5,4.28,10,7,0.348,33.9,-0.14,5,downgrade
0.946,84.3,71.3,2.3,4,7,0.878,87.9,0.327,6,upgrade
0.971,79.6,46.2,1.8,0,3,0.862,87.5,0.184,7,upgrade
0.849,81.0,69.0,2.49,0,5,0.931,87.8,0.318,9,upgrade
0.79,68.5,72.2,2.23,3,3,0.74,71.7,0.078,1,maintain
0.38,38.9,134.4,2.8,13,5,0.532,31.7,-0.276,5,downgrade
0.92,68.4,64.8,2.43,1,2,0.579,63.9,-0.019,1,maintain
0.701,76.1,73.0,2.09,4,1,0.84,75.3,-0.033,3,maintain
0.752,77.4,79.9,2.24,5,8,0.827,45,0.071,8,maintain
0.314,44.0,84.7,2.79,12,4,0.425,45.8,-0.238,3,downgrade
0.86,74.6,78.3,2.18,4,1,0.89,95.9,0.066,5,upgrade
0.968,82.3,81.5,2.27,0,4,0.845,100,0.125,5,upgrade
0.352,50.9,79.3,2.45,9,2,0.15,52.6,0.139,7,downgrade
0.29,24.7,137.3,3.03,16,2,0.377,22.6,-0.044,4,downgrade
0.5,61.7,79.3,2.37,8,4,0.614,53.6,0.07,6,maintain
0.835,97.0,60.6,2.17,0,5,0.882,97.2,-0.09,5,upgrade
0.353,38.7,83.6,2.56,9,2,0.492,52.7,-0.119,6,downgrade
0.815,88,64.4,2.24,3,7,0.553,63.2,0.039,2,maintain
0.215,33.8,174.2,4.17,17,5,0.05,53.4,-0.04,7,downgrade
0.415,43.9,112.6,3.43,10,7,0.554,44.4,-0.283,6,downgrade
0.964,84.1,72.4,1.86,3,1,0.858,86.7,0.108,10,upgrade
0.886,72.6,86.0,2.43,4,4,0.773,92.2,0.199,4,upgrade
0.272,12.6,155.1,3.98,11,7,0.233,8.2,-0.195,2,downgrade
0.279,18.6,139.2,4.01,12,8,0.285,27.2,-0.106,4,downgrade
0.202,37.3,107.3,2.92,10,2,0.131,64.0,-0.129,2,downgrade
0.336,31.2,94.7,3.6,7,3,0.24,44.9,0.088,4,downgrade
0.642,68.9,80.3,2.75,5,5,0.754,70.8,-0.017,7,maintain
0.957,100,55.3,1.62,3,2,0.857,88.2,0.047,7,upgrade
0.331,11.0,126.7,3.64,12,4,0.446,24.1,-0.14,4,downgrade
0.737,69.0,122.3,2.63,10,6,0.95,90.2,-0.265,10,maintain
0.858,66.8,116.8,2.84,1,6,0.931,81.5,0.287,2,maintain
0.295,37.3,153.7,3.19,13,8,0.175,52.1,0.016,1,downgrade
0.225,24.4,130.7,3.29,14,3,0.445,39.3,-0.05,6,downgrade
0.317,42.5,149.0,3.4,14,6,0.366,52.2,-0.171,8,downgrade
0.939,67.9,87.3,2.77,0,7,0.882,86.4,-0.317,9,maintain
0.663,72.6,116.6,2.52,6,8,0.661,59.4,-0.057,2,maintain
0.894,88.1,54.8,1.62,1,2,0.972,85.5,0.134,4,upgrade
0.918,91.8,64.4,2.12,0,5,0.901,86.2,-0.017,5,upgrade
0.831,93.1,44.0,1.04,4,2,0.964,83.2,0.045,10,upgrade
0.731,81.0,59.9,2.18,1,3,0.529,52.3,-0.031,8,maintain
0.781,84.5,79.8,1.94,2,7,0.892,82.0,0.276,6,upgrade
0.219,43.1,114.2,3.2,8,5,0.314,28.3,-0.29,4,downgrade
0.336,40.3,87.7,3.0,6,2,0.413,41.1,-0.191,8,downgrade
0.734,79.0,59.5,1.58,5,1,0.961,88.3,-0.09,9,upgrade
0.793,82.3,75.1,2.12,3,6,0.908,83.4,0.063,4,upgrade
0.761,57.4,83.7,3.03,3,5,0.587,67.7,0.063,4,maintain
0.338,61.5,98.1,2.76,8,2,0.249,70.7,-0.093,2,downgrade
0.815,66.1,96.0,2.45,7,7,0.796,64.9,0.079,6,maintain
0.969,92.7,57.7,1.67,1,3,0.824,94.2,-0.016,9,upgrade
0.132,46.2,140.9,2.65,19,3,0.05,57.6,-0.18,6,downgrade
0.919,84.8,63.9,1.65,4,2,0.947,80.1,0.048,9,upgrade
0.847,59.6,80.8,2.26,6,2,0.84,58.4,-0.132,8,maintain
0.577,33.3,85.1,3.22,9,4,0.766,51.2,0.004,2,downgrade
0.944,87.2,75.7,1.96,0,6,0.878,75.7,0.005,6,upgrade
0.299,35.9,117.8,3.39,10,5,0.101,57.6,0.049,8,downgrade
0.888,73.7,93.0,2.36,5,6,0.903,82.5,0.004,5,upgrade
0.171,36.2,148.4,3.28,9,8,0.101,34.8,-0.131,7,downgrade
0.333,49.6,117.4,2.75,6,3,0.414,45.1,0.016,2,downgrade
0.76,63.8,90.2,2.56,5,4,0.624,72.6,0.097,1,maintain
0.356,15.6,180,4.1,15,6,0.334,10.3,0.25,5,downgrade
0.82,72.5,65.5,1.93,1,2,0.878,81.8,-0.366,6,maintain
0.853,86.1,52.7,1.66,0,1,0.79,91.6,0.127,3,upgrade
1.0,84.6,66.2,1.87,2,2,0.917,75.9,0.024,9,upgrade
0.327,34.6,123.7,2.93,12,2,0.606,33.3,-0.059,3,downgrade
0.884,69.7,61.0,2.53,1,5,0.947,80.5,-0.291,7,maintain
0.922,71.5,83.9,2.66,2,6,0.9,80.1,0.014,7,upgrade
0.413,54.5,148.4,3.19,12,7,0.264,49.3,-0.152,4,downgrade
0.982,77.6,85.2,2.34,0,5,0.884,95.7,0.16,3,upgrade
0.708,80.3,91.9,1.78,8,2,0.803,71.6,0.061,7,maintain
0.744,59.6,118.9,2.91,8,8,0.719,79.9,-0.02,4,maintain
1.0,77.1,55.9,2.0,0,2,0.917,95.4,0.066,9,upgrade
0.892,74.5,55.1,2.04,2,3,0.944,79.4,-0.025,6,upgrade
0.374,30.9,123.0,3.51,12,3,0.34,44.6,-0.223,2,downgrade
1.0,100,65.1,2.01,0,6,0.857,95.3,-0.024,5,upgrade
0.77,45,91.9,2.73,1,2,0.761,79.9,0.145,6,maintain
0.776,77.8,101.8,2.44,4,5,0.899,81.9,-0.2,4,maintain
0.391,27.5,142.1,3.17,16,4,0.324,22.0,-0.116,3,downgrade
0.889,86.3,75.7,2.03,2,3,0.936,91.1,0.233,3,upgrade
0.302,27.4,108.6,3.45,9,3,0.295,23.4,-0.051,5,downgrade
0.477,35.4,122.8,3.56,10,8,0.509,31.8,-0.012,1,downgrade
0.322,18.4,136.3,4.34,13,8,0.319,20.7,-0.222,2,downgrade
0.757,84.9,68.8,1.69,3,3,0.807,79.9,0.24,1,maintain
0.897,91.5,54.2,1.43,1,2,0.9,85.6,-0.058,8,upgrade
0.877,90.6,57.3,2.11,0,7,0.841,88.6,0.137,9,upgrade
0.372,19.5,106.8,3.73,13,5,0.333,23.6,-0.246,8,downgrade
0.398,26.0,104.7,3.75,9,5,0.456,32.7,-0.151,5,downgrade
0.74,56.7,134.1,3.16,6,8,0.818,52.6,0.22,6,maintain
0.891,87.8,64.0,1.98,3,2,0.859,91.6,0.182,3,upgrade
0.731,66.4,95.8,2.55,6,7,0.938,85.3,0.206,1,maintain
1.0,84.6,92.0,2.61,1,2,0.902,95.7,0.132,9,upgrade
0.796,79.6,75.4,2.44,1,7,0.823,87.9,0.035,6,upgrade
0.896,81.6,59.4,1.71,2,1,0.892,94.4,0.177,7,upgrade
0.256,36.5,99.5,2.93,9,2,0.305,40.7,-0.063,2,downgrade
0.95,87.6,52.3,1.71,0,1,0.964,93.7,0.126,9,upgrade
0.231,47.7,153.0,2.96,17,3,0.45,59.3,0.136,3,downgrade
0.702,87.7,69.1,2.04,5,5,0.704,54.1,-0.201,1,maintain
0.796,74.3,60.2,1.81,3,2,0.949,78.0,0.162,1,maintain
0.273,12.2,143.0,4.37,9,7,0.354,26.4,-0.364,4,downgrade
0.185,38.0,158.3,3.54,12,4,0.157,49.2,0.029,3,downgrade
0.895,51.4,64.8,2.53,1,4,0.627,66.7,0.062,8,maintain
0.096,35.4,131.4,3.09,16,7,0.05,34.9,-0.128,1,downgrade
0.577,24.3,157.2,3.62,8,5,0.476,20.9,0.034,1,downgrade
0.246,32.9,180,4.02,17,8,0.407,49.0,-0.131,4,downgrade
0.861,70.0,85.9,2.4,3,6,0.892,88.1,0.246,1,maintain
0.5,16.8,112.9,3.82,4,8,0.438,41.1,-0.196,1,downgrade
0.558,83.7,109.9,2.27,5,8,0.812,61.7,-0.034,10,maintain
0.664,61.9,75.0,2.47,5,2,0.776,56.4,-0.052,1,maintain
0.987,83.7,48.2,2.12,0,2,0.9,71.7,0.113,10,upgrade
0.864,72.9,76.6,1.82,3,1,0.943,89.2,0.167,2,maintain
0.245,14.7,180,4.5,19,7,0.442,6.0,-0.103,6,downgrade
0.908,95.6,66.3,1.8,2,5,0.96,87.6,0.327,9,upgrade
0.766,82.3,92.1,2.14,3,7,0.865,89.9,0.117,10,upgrade
0.185,25.5,127.9,3.28,17,4,0.145,38.5,0.002,3,downgrade
0.836,65.6,78.2,2.08,4,2,0.913,78.2,-0.433,5,maintain
0.324,32.6,122.6,3.46,14,4,0.445,37.3,-0.222,5,downgrade
0.826,87.3,64.1,2.16,0,5,0.824,88.9,0.001,5,upgrade
0.889,74.2,62.8,2.01,0,2,0.892,90.0,0.043,5,upgrade
0.774,54.5,111.2,2.83,6,8,0.791,79.9,0.138,6,maintain
